96779,-0.17,0.27,9.65,-0.06,0.00,-0.06,1.50,-1.12,-1.69
96879,-0.16,0.30,9.64,-0.06,0.06,0.12,1.50,-1.12,-1.69
96979,-0.18,0.30,9.64,0.12,0.12,0.00,1.50,-1.12,-1.69
97079,-0.18,0.30,9.64,-0.06,0.06,-0.06,1.50,-1.12,-1.69
97179,-0.17,0.28,9.67,0.00,0.06,0.00,1.50,-1.12,-1.69
97280,-0.18,0.28,9.64,-0.06,0.06,0.00,1.50,-1.12,-1.69
97380,-0.19,0.29,9.65,0.00,0.00,0.00,1.50,-1.12,-1.69
97480,-0.18,0.29,9.66,0.06,-0.06,0.06,1.50,-1.12,-1.69
97581,-0.20,0.29,9.65,-0.06,0.00,-0.12,1.50,-1.12,-1.69
97681,-0.19,0.30,9.66,-0.06,-0.12,-0.06,1.50,-1.12,-1.69
97781,-0.17,0.29,9.63,0.06,-0.12,-0.06,1.50,-1.12,-1.69
97882,-0.18,0.28,9.65,0.12,0.00,-0.06,1.50,-1.12,-1.69
97982,-0.17,0.30,9.62,-0.12,0.12,0.12,1.50,-1.12,-1.69
98082,-0.19,0.27,9.64,-0.06,-0.12,0.00,1.50,-1.12,-1.69
98180,-0.16,0.27,9.64,0.00,-0.06,-0.06,1.50,-1.12,-1.69
98280,-0.18,0.31,9.67,0.00,0.00,-0.06,1.50,-1.12,-1.69
98380,-0.19,0.26,9.67,-0.12,0.06,0.12,1.50,-1.12,-1.69
98479,-0.12,0.26,9.62,0.00,0.06,0.06,1.50,-1.12,-1.69
98579,-0.24,0.30,9.64,-0.06,0.19,0.06,1.50,-1.12,-1.69
98679,-0.19,0.28,9.65,-0.12,0.19,0.00,1.50,-1.12,-1.69
98779,-0.16,0.29,9.64,-0.12,-0.31,0.00,1.50,-1.12,-1.69
98879,-0.17,0.32,9.65,0.00,0.00,-0.12,1.50,-1.12,-1.69
98979,-0.18,0.32,9.65,0.00,0.00,0.06,1.50,-1.12,-1.69
99080,-0.18,0.30,9.65,-0.06,-0.06,0.12,1.50,-1.12,-1.69
99180,-0.20,0.29,9.66,0.06,-0.19,0.00,1.50,-1.12,-1.69
99280,-0.17,0.30,9.64,0.12,0.06,0.06,1.50,-1.12,-1.69
99380,-0.17,0.30,9.63,-0.12,0.12,0.12,1.50,-1.12,-1.69
99480,-0.16,0.30,9.64,0.12,-0.06,-0.12,1.50,-1.12,-1.69
99580,-0.17,0.29,9.62,-0.06,-0.06,0.06,1.50,-1.12,-1.69
99679,-0.17,0.31,9.64,-0.06,-0.06,0.00,1.50,-1.12,-1.69
99779,-0.18,0.30,9.65,0.00,-0.12,0.06,1.50,-1.12,-1.69
99879,-0.17,0.31,9.65,0.00,-0.12,0.06,1.50,-1.12,-1.69
99979,-0.17,0.29,9.64,0.00,-0.12,0.12,1.50,-1.12,-1.69
100079,-0.17,0.27,9.64,-0.12,0.06,0.12,1.50,-1.12,-1.69
100179,-0.18,0.33,9.63,0.06,0.06,-0.06,1.50,-1.12,-1.69
100279,-0.18,0.32,9.63,0.44,0.31,0.12,1.50,-1.12,-1.69
100379,-0.17,0.27,9.66,-0.06,-0.06,-0.06,1.50,-1.12,-1.69
100480,-0.19,0.29,9.64,0.06,-0.06,-0.12,1.50,-1.12,-1.69
100579,-0.19,0.29,9.63,0.06,-0.06,-0.12,1.50,-1.12,-1.69
100680,-0.16,0.30,9.67,0.06,0.06,0.06,1.50,-1.12,-1.69
100781,-0.18,0.28,9.63,-0.12,0.00,-0.06,1.50,-1.12,-1.69
100880,-0.17,0.30,9.65,-0.06,0.00,0.00,1.50,-1.12,-1.69
100980,-0.18,0.28,9.64,0.00,0.12,0.00,1.50,-1.12,-1.69
101082,-0.16,0.30,9.64,0.00,0.12,-0.06,1.50,-1.12,-1.69
101181,-0.18,0.28,9.64,0.06,0.00,0.00,1.50,-1.12,-1.69
101281,-0.18,0.29,9.62,0.00,0.00,0.06,1.50,-1.12,-1.69
101381,-0.18,0.31,9.60,0.06,-0.12,-0.06,1.50,-1.12,-1.69
101481,-0.17,0.30,9.66,-0.12,0.00,-0.06,1.50,-1.12,-1.69
101581,-0.18,0.28,9.66,-0.06,0.06,-0.06,1.50,-1.12,-1.69
101679,-0.17,0.30,9.63,-0.12,0.06,0.06,1.50,-1.12,-1.69
101779,-0.17,0.31,9.67,0.00,0.12,0.00,1.50,-1.12,-1.69
101879,-0.17,0.28,9.65,0.00,-0.19,0.12,1.50,-1.12,-1.69
101979,-0.18,0.28,9.60,0.00,-0.06,0.00,1.50,-1.12,-1.69
102079,-0.19,0.30,9.62,0.00,-0.06,0.06,1.50,-1.12,-1.69
102179,-0.19,0.30,9.65,-0.06,-0.12,0.19,1.50,-1.12,-1.69
102280,-0.17,0.29,9.62,0.06,-0.06,-0.06,1.50,-1.12,-1.69
102380,-0.20,0.30,9.62,0.00,0.00,0.00,1.50,-1.12,-1.69
102480,-0.16,0.31,9.65,-0.19,0.00,-0.06,1.50,-1.12,-1.69
102580,-0.20,0.29,9.61,0.00,-0.06,0.00,1.50,-1.12,-1.69
102680,-0.17,0.28,9.62,0.06,-0.06,0.19,1.50,-1.12,-1.69
102781,-0.17,0.28,9.63,-0.06,0.12,-0.06,1.50,-1.12,-1.69
102881,-0.17,0.29,9.63,-0.06,-0.12,0.06,1.50,-1.12,-1.69
102981,-0.16,0.25,9.65,-0.19,-0.31,0.06,1.50,-1.12,-1.69
103081,-0.17,0.29,9.62,0.00,0.12,0.06,1.50,-1.12,-1.69
103181,-0.17,0.29,9.64,0.12,-0.06,0.00,1.50,-1.12,-1.69
103281,-0.22,0.20,9.66,-0.56,-0.25,0.06,1.50,-1.12,-1.69
103380,-0.17,0.32,9.60,0.19,0.37,0.06,1.50,-1.12,-1.69
103479,-0.19,0.31,9.62,0.00,0.00,-0.06,1.50,-1.12,-1.69
103579,-0.19,0.31,9.64,0.06,-0.12,0.06,1.50,-1.12,-1.69
103680,-0.15,0.32,9.63,0.00,0.06,0.12,1.50,-1.12,-1.69
103779,-0.18,0.32,9.64,0.00,0.00,0.06,1.50,-1.12,-1.69
103879,-0.18,0.30,9.64,0.06,0.06,0.00,1.50,-1.12,-1.69
103980,-0.19,0.29,9.65,0.00,-0.12,-0.06,1.50,-1.12,-1.69
104080,-0.18,0.31,9.65,-0.06,0.00,-0.06,1.50,-1.12,-1.69
104180,-0.17,0.28,9.63,0.19,0.12,0.00,1.50,-1.12,-1.69
104281,-0.19,0.29,9.62,0.06,0.00,-0.12,1.50,-1.12,-1.69
104381,-0.19,0.30,9.63,0.00,0.06,0.06,1.50,-1.12,-1.69
104481,-0.17,0.29,9.63,0.12,0.06,0.12,1.50,-1.12,-1.69
104581,-0.18,0.30,9.65,0.00,0.00,-0.06,1.50,-1.12,-1.69
104681,-0.17,0.30,9.65,0.06,0.06,0.00,1.50,-1.12,-1.69
104782,-0.17,0.31,9.62,0.19,0.19,0.00,1.50,-1.12,-1.69
104881,-0.18,0.29,9.61,-0.06,0.12,0.00,1.50,-1.12,-1.69
104980,-0.18,0.29,9.62,0.06,0.06,0.00,1.50,-1.12,-1.69
105080,-0.17,0.30,9.65,0.06,-0.06,0.00,1.50,-1.12,-1.69
105179,-0.17,0.30,9.63,0.12,-0.19,0.06,1.50,-1.12,-1.69
105279,-0.17,0.32,9.65,-0.06,-0.12,-0.06,1.50,-1.12,-1.69
105379,-0.17,0.32,9.63,0.19,-0.06,0.19,1.50,-1.12,-1.69
105479,-0.19,0.34,9.64,0.12,0.12,0.06,1.50,-1.12,-1.69
105579,-0.16,0.32,9.63,0.12,-0.06,-0.12,1.50,-1.12,-1.69
105679,-0.20,0.32,9.65,0.12,-0.06,0.06,1.50,-1.12,-1.69
105780,-0.17,0.32,9.62,0.06,0.00,0.06,1.50,-1.12,-1.69
105880,-0.17,0.32,9.63,0.12,0.06,-0.06,1.50,-1.12,-1.69
105980,-0.15,0.34,9.65,0.12,-0.06,0.06,1.50,-1.12,-1.69
106081,-0.17,0.34,9.65,0.00,0.00,0.06,1.50,-1.12,-1.69
106181,-0.17,0.33,9.65,-0.19,-0.06,0.06,1.50,-1.12,-1.69
106281,-0.19,0.38,9.62,0.06,0.25,0.00,1.50,-1.12,-1.69
106381,-0.17,0.31,9.66,0.19,0.00,0.00,1.50,-1.12,-1.69
106482,-0.18,0.32,9.65,-0.31,-0.12,-0.06,1.50,-1.12,-1.69
106582,-0.17,0.36,9.66,0.69,0.31,-0.06,1.50,-1.12,-1.69
106680,-0.15,0.30,9.65,0.12,-0.06,-0.12,1.50,-1.12,-1.69
106780,-0.18,0.32,9.64,-0.12,-0.06,-0.06,1.50,-1.12,-1.69
106881,-0.16,0.29,9.67,0.12,-0.12,-0.06,1.50,-1.12,-1.69
106979,-0.18,0.37,9.62,0.31,-0.12,0.00,1.50,-1.12,-1.69
